date,link,questionFrontendId,titleSlug,title,difficulty,isPaidOnly,topicTags
10/06/2020,https://leetcode.com/problems/search-insert-position/,35,search-insert-position,Search Insert Position,Easy,,"Array, Binary Search"
11/06/2020,https://leetcode.com/problems/sort-colors/,75,sort-colors,Sort Colors,Medium,,"Array, Two Pointers, Sorting"
12/06/2020,https://leetcode.com/problems/insert-delete-getrandom-o1/,380,insert-delete-getrandom-o1,Insert Delete GetRandom O(1),Medium,,"Array, Hash Table, Math, Design, Randomized"
13/06/2020,https://leetcode.com/problems/largest-divisible-subset/,368,largest-divisible-subset,Largest Divisible Subset,Medium,,"Array, Math, Dynamic Programming, Sorting"
14/06/2020,https://leetcode.com/problems/cheapest-flights-within-k-stops/,787,cheapest-flights-within-k-stops,Cheapest Flights Within K Stops,Medium,,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
15/06/2020,https://leetcode.com/problems/search-in-a-binary-search-tree/,700,search-in-a-binary-search-tree,Search in a Binary Search Tree,Easy,,"Tree, Binary Search Tree, Binary Tree"
16/06/2020,https://leetcode.com/problems/validate-ip-address/,468,validate-ip-address,Validate IP Address,Medium,,String
17/06/2020,https://leetcode.com/problems/surrounded-regions/,130,surrounded-regions,Surrounded Regions,Medium,,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
18/06/2020,https://leetcode.com/problems/h-index-ii/,275,h-index-ii,H-Index II,Medium,,"Array, Binary Search"
19/06/2020,https://leetcode.com/problems/longest-duplicate-substring/,1044,longest-duplicate-substring,Longest Duplicate Substring,Hard,,"String, Binary Search, Sliding Window, Rolling Hash, Suffix Array, Hash Function"
20/06/2020,https://leetcode.com/problems/permutation-sequence/,60,permutation-sequence,Permutation Sequence,Hard,,"Math, Recursion"
21/06/2020,https://leetcode.com/problems/dungeon-game/,174,dungeon-game,Dungeon Game,Hard,,"Array, Dynamic Programming, Matrix"
22/06/2020,https://leetcode.com/problems/single-number-ii/,137,single-number-ii,Single Number II,Medium,,"Array, Bit Manipulation"
23/06/2020,https://leetcode.com/problems/count-complete-tree-nodes/,222,count-complete-tree-nodes,Count Complete Tree Nodes,Easy,,"Binary Search, Bit Manipulation, Tree, Binary Tree"
